timestamp,container,cpu_percent,mem_used_mib,mem_total_mib
1747194476040,fithealth,0.0,182.8,15022.08
1747194478197,fithealth,0.0,182.8,15022.08
1747194481099,fithealth,0.0,182.8,15022.08
1747194483135,fithealth,0.0,182.8,15022.08
1747194485620,fithealth,0.01,182.8,15022.08
1747194487651,fithealth,0.0,182.8,15022.08
1747194489686,fithealth,0.0,182.8,15022.08
1747194491718,fithealth,0.0,182.8,15022.08
1747194493754,fithealth,106.61,182.7,15022.08
1747194495808,fithealth,99.62,182.9,15022.08
1747194497864,fithealth,104.7,188.1,15022.08
1747194499910,fithealth,77.32,188.2,15022.08
1747194501963,fithealth,60.05,188.2,15022.08
1747194504022,fithealth,51.19,188.5,15022.08
1747194506084,fithealth,54.53,188.2,15022.08
1747194508176,fithealth,53.16,188.1,15022.08
1747194510257,fithealth,62.63,188.3,15022.08
1747194512328,fithealth,58.46,188.3,15022.08
1747194514407,fithealth,56.56,188.2,15022.08
1747194516466,fithealth,52.43,188.6,15022.08
1747194518539,fithealth,59.02,188.4,15022.08
1747194520585,fithealth,59.89,188.6,15022.08
1747194522649,fithealth,50.17,188.5,15022.08
1747194524725,fithealth,53.89,188.4,15022.08
1747194526793,fithealth,58.33,188.8,15022.08
1747194528864,fithealth,54.76,188.4,15022.08
1747194530926,fithealth,55.32,188.5,15022.08
1747194533004,fithealth,52.33,188.5,15022.08
1747194535045,fithealth,60.18,188.3,15022.08
1747194537103,fithealth,48.58,188.4,15022.08
1747194539170,fithealth,54.81,188.7,15022.08
1747194541240,fithealth,58.54,188.4,15022.08
1747194543316,fithealth,59.99,188.4,15022.08
1747194545385,fithealth,55.55,188.6,15022.08
1747194547457,fithealth,38.37,188.6,15022.08
1747194549496,fithealth,54.28,188.9,15022.08
1747194551578,fithealth,56.99,188.7,15022.08
1747194553680,fithealth,55.51,189.1,15022.08
1747194555761,fithealth,54.08,188.6,15022.08
1747194557823,fithealth,61.29,188.5,15022.08
1747194559865,fithealth,24.27,188.5,15022.08
1747194561903,fithealth,109.38,188.5,15022.08
1747194563948,fithealth,72.06,188.3,15022.08
1747194565996,fithealth,72.88,188.5,15022.08
1747194568041,fithealth,65.17,188.3,15022.08
1747194570140,fithealth,59.7,188.3,15022.08
1747194572213,fithealth,56.76,188.2,15022.08
1747194574270,fithealth,45.88,188.5,15022.08
1747194576327,fithealth,59.89,188.4,15022.08
1747194578400,fithealth,37.2,188.3,15022.08
1747194580497,fithealth,58.27,188.6,15022.08
1747194582576,fithealth,55.14,188.5,15022.08
1747194584645,fithealth,58.74,188.5,15022.08
1747194586721,fithealth,56.71,188.4,15022.08
1747194588787,fithealth,31.09,188.5,15022.08
1747194590824,fithealth,56.42,188.7,15022.08
1747194592900,fithealth,55.26,188.7,15022.08
1747194594962,fithealth,45.64,188.3,15022.08
1747194597032,fithealth,56.86,188.7,15022.08
1747194599106,fithealth,56.38,188.6,15022.08
1747194601177,fithealth,30.38,188.4,15022.08
1747194603239,fithealth,57.57,188.4,15022.08
1747194605329,fithealth,56.67,188.2,15022.08
1747194607406,fithealth,33.92,188.5,15022.08
1747194609472,fithealth,61.2,188.4,15022.08
1747194611544,fithealth,56.71,188.8,15022.08
1747194613609,fithealth,0.0,188.3,15022.08
1747194615643,fithealth,0.0,188.3,15022.08
1747194617683,fithealth,0.0,188.3,15022.08
1747194619721,fithealth,0.0,188.3,15022.08
1747194621882,fithealth,0.0,188.3,15022.08
1747194623916,fithealth,0.0,188.3,15022.08
1747194626098,fithealth,0.0,188.2,15022.08
1747194628132,fithealth,0.0,188.2,15022.08
