timestamp,container,cpu_percent,mem_used_mib,mem_total_mib
1747188836545,fithealth,0.0,182.3,15984.64
1747188839076,fithealth,52.61,182.4,15984.64
1747188841616,fithealth,52.45,182.5,15984.64
1747188844151,fithealth,51.43,182.5,15984.64
1747188846686,fithealth,48.47,182.8,15984.64
1747188849222,fithealth,53.93,183.2,15984.64
1747188851757,fithealth,101.93,183.4,15984.64
1747188854297,fithealth,54.98,183.3,15984.64
1747188856856,fithealth,53.97,183.5,15984.64
1747188859422,fithealth,52.86,183.7,15984.64
1747188861999,fithealth,54.5,183.2,15984.64
1747188864565,fithealth,49.6,183.6,15984.64
1747188867132,fithealth,54.03,183.2,15984.64
1747188869693,fithealth,54.88,183.3,15984.64
1747188872261,fithealth,54.47,183.4,15984.64
1747188874833,fithealth,56.78,183.5,15984.64
1747188877402,fithealth,56.08,183.5,15984.64
1747188879961,fithealth,56.26,183.2,15984.64
1747188882525,fithealth,50.62,183.1,15984.64
1747188885091,fithealth,56.03,183.5,15984.64
1747188887658,fithealth,48.68,183.2,15984.64
1747188890223,fithealth,57.6,183.3,15984.64
1747188892784,fithealth,46.98,183.3,15984.64
1747188895349,fithealth,55.32,183.2,15984.64
1747188897923,fithealth,59.08,183.2,15984.64
1747188900490,fithealth,72.64,183.2,15984.64
1747188903059,fithealth,57.17,183.3,15984.64
1747188905631,fithealth,94.41,183.5,15984.64
1747188908181,fithealth,54.55,183.5,15984.64
1747188910757,fithealth,58.91,183.3,15984.64
1747188913325,fithealth,100.92,183.2,15984.64
1747188915884,fithealth,45.02,183.3,15984.64
1747188918465,fithealth,56.86,183.4,15984.64
1747188921022,fithealth,55.36,183.2,15984.64
1747188923592,fithealth,42.34,183.3,15984.64
1747188926154,fithealth,55.43,183.4,15984.64
1747188928717,fithealth,57.55,183.6,15984.64
1747188931282,fithealth,40.15,183.3,15984.64
1747188933849,fithealth,56.32,183.3,15984.64
1747188936419,fithealth,57.4,183.3,15984.64
1747188939004,fithealth,56.91,183.5,15984.64
1747188941571,fithealth,56.68,183.3,15984.64
1747188944128,fithealth,55.51,183.4,15984.64
1747188946701,fithealth,56.21,183.3,15984.64
1747188949261,fithealth,36.39,183.4,15984.64
1747188951807,fithealth,56.36,183.3,15984.64
1747188954377,fithealth,57.02,183.6,15984.64
1747188956934,fithealth,57.29,183.3,15984.64
1747188959504,fithealth,55.22,183.3,15984.64
1747188962066,fithealth,78.95,183.3,15984.64
1747188964635,fithealth,51.8,183.8,15984.64
1747188967194,fithealth,55.46,183.2,15984.64
1747188969750,fithealth,55.26,183.6,15984.64
1747188972329,fithealth,0.0,183.2,15984.64
1747188974860,fithealth,0.0,183.2,15984.64
1747188977391,fithealth,0.0,183.2,15984.64
1747188979923,fithealth,0.0,183.2,15984.64
1747188982456,fithealth,0.0,183.2,15984.64
1747188984986,fithealth,0.0,183.2,15984.64
1747188987517,fithealth,0.0,183.2,15984.64
1747188990049,fithealth,0.0,183.2,15984.64
1747188992580,fithealth,0.0,183.2,15984.64
1747188995112,fithealth,0.0,183.2,15984.64
1747188997650,fithealth,0.0,183.2,15984.64
1747189000183,fithealth,0.0,183.2,15984.64
1747189002719,fithealth,0.0,183.2,15984.64
1747189005251,fithealth,0.01,183.2,15984.64
1747189007782,fithealth,0.0,183.2,15984.64
1747189010313,fithealth,0.0,183.2,15984.64
1747189012844,fithealth,0.0,183.2,15984.64
1747189015375,fithealth,0.0,183.2,15984.64
1747189017908,fithealth,0.0,183.2,15984.64
1747189020441,fithealth,0.0,183.2,15984.64
1747189022971,fithealth,0.0,183.2,15984.64
