timestamp,container,cpu_percent,mem_used_mib,mem_total_mib
1747194089293,fithealth,0.0,41.23,15022.08
1747194091830,fithealth,94.86,56.24,15022.08
1747194094376,fithealth,89.53,100.9,15022.08
1747194096916,fithealth,112.06,136.8,15022.08
1747194099467,fithealth,107.19,164.2,15022.08
1747194102020,fithealth,61.8,164.4,15022.08
1747194104589,fithealth,57.15,164.4,15022.08
1747194107182,fithealth,60.26,164.4,15022.08
1747194109755,fithealth,56.73,164.6,15022.08
1747194112313,fithealth,61.09,164.8,15022.08
1747194114878,fithealth,61.3,164.9,15022.08
1747194117450,fithealth,60.39,165.0,15022.08
1747194120037,fithealth,55.83,165.0,15022.08
1747194122602,fithealth,58.3,165.3,15022.08
1747194125188,fithealth,55.69,165.0,15022.08
1747194127777,fithealth,48.68,165.0,15022.08
1747194130345,fithealth,56.61,165.3,15022.08
1747194132924,fithealth,49.84,165.6,15022.08
1747194135491,fithealth,54.76,164.9,15022.08
1747194138053,fithealth,46.51,164.8,15022.08
1747194140633,fithealth,54.8,164.8,15022.08
1747194143218,fithealth,58.27,165.0,15022.08
1747194145786,fithealth,59.6,165.0,15022.08
1747194148350,fithealth,61.01,165.2,15022.08
1747194150914,fithealth,58.61,165.4,15022.08
1747194153484,fithealth,55.22,165.2,15022.08
1747194156055,fithealth,82.06,165.1,15022.08
1747194158615,fithealth,33.28,165.3,15022.08
1747194161171,fithealth,94.22,165.3,15022.08
1747194163711,fithealth,58.93,165.3,15022.08
1747194166257,fithealth,78.78,165.4,15022.08
1747194168803,fithealth,66.15,165.6,15022.08
1747194171370,fithealth,53.14,166.1,15022.08
1747194173927,fithealth,59.56,165.8,15022.08
1747194176511,fithealth,56.15,166.0,15022.08
1747194179084,fithealth,56.59,165.8,15022.08
1747194181682,fithealth,56.48,165.8,15022.08
1747194184272,fithealth,54.93,165.8,15022.08
1747194186827,fithealth,54.12,165.4,15022.08
1747194189390,fithealth,52.23,165.4,15022.08
1747194191953,fithealth,60.5,165.4,15022.08
1747194194521,fithealth,56.99,165.3,15022.08
1747194197101,fithealth,60.54,165.4,15022.08
1747194199675,fithealth,57.59,165.2,15022.08
1747194202251,fithealth,54.94,165.3,15022.08
1747194204797,fithealth,57.13,165.4,15022.08
1747194207373,fithealth,42.81,165.3,15022.08
1747194209945,fithealth,54.99,165.4,15022.08
1747194212513,fithealth,0.01,165.3,15022.08
1747194215120,fithealth,0.0,165.3,15022.08
